% Model:              model.mph
% Version:            COMSOL 6.4.0.293
% Date:               Mar 27 2026, 14:58
% Dimension:          3
% Nodes:              2281
% Expressions:        6
% Description:        x-coordinate, y-coordinate, z-coordinate, von Mises stress, Displacement magnitude, Equivalent deviatoric strain
% Length unit:        µm
% X                       Y                        Z                        x (µm)                   y (µm)                   z (µm)                   solid.mises (N/m^2)      solid.disp (µm)          solid.edeve (1)
0.24146257330794862       2.7667535545392656       0.04999999999999999      0.24146257330794857      2.766753554539266        0.04999999999999999      4761.827629390748        1.1639473208696488E-9    3.6151479036893058E-9
0.22610523844401015       2.7693875881728505       0.09999999999999999      0.22610523844401012      2.7693875881728505       0.09999999999999999      4394.980963504552        1.0787805232788E-9       3.3366403518895844E-9
0.3199892973027942        2.876984738132751        0.09999999999999999      0.31998929730279424      2.87698473813275         0.10000000000000003      2140.3134989815335       1.0458670660112737E-9    1.6249117904486295E-9
0.221161179657469         2.8250437650991813       0.045412844108773144     0.22116117965746895      2.8250437650991813       0.04541284410877314      2755.4899130908775       9.033280091788064E-10    2.0919496374592784E-9
0.22610523844401015       2.7693875881728505       5.152985330410414E-18    0.22610523844401012      2.7693875881728505       5.152985330410414E-18    4502.720732139301        1.0771349628119355E-9    3.4184356685280643E-9
0.3196600402298976        2.8773512718173397       0                        0.3196600402298975       2.8773512718173397       0                        2118.248666025546        1.0452900646622402E-9    1.608160315843846E-9
0.1547458146863984        2.8712558183481174       0                        0.1547458146863984       2.8712558183481174       0                        1843.977215706772        6.648119223548264E-10    1.3999352527311378E-9
0.1541532826441833        2.8718148585454033       0.09999999999999999      0.15415328264418326      2.871814858545404        0.10000000000000003      1891.5238359066498       6.639158586578336E-10    1.4360323309374503E-9
0.11547634765186014       2.752360173305419        0.1                      0.11547634765186011      2.752360173305419        0.09999999999999999      3949.3292242419093       5.813513268566897E-10    2.998304511879987E-9
0.11547634765186014       2.752360173305419        7.070886976453852E-18    0.11547634765186011      2.752360173305419        7.07088697645385E-18     3795.98000072265         5.939128735123574E-10    2.881882800074143E-9
0.0020049485412304228     2.7242119430254936       0.04489795918447668      0.002004948541230422     2.724211943025494        0.04489795918447669      1502.8237159130676       3.3354326474544394E-10   1.1409337819506308E-9
0.008263986383026075      2.81288434057788         0                        0.008263986383026074     2.8128843405778805       0                        1821.4307258558583       4.3420306433642466E-10   1.3828181074113458E-9
0.008261368876350508      2.8128823359745745       0.09999999999999999      0.00826136887635051      2.812882335974575        0.1                      1873.1294597025471       4.3290948208404445E-10   1.4220674427160672E-9
0.031321710837422995      2.678558537567453        5.152985330410415E-18    0.031321710837422995     2.6785585375674534       5.152985330410415E-18    1463.844489609235        2.6545561536508324E-10   1.1113410122774964E-9
0.031321710837422995      2.678558537567453        0.1                      0.031321710837422995     2.6785585375674534       0.09999999999999999      1471.4784405736223       2.646756512426579E-10    1.1171366571377666E-9
0.023467993097072294      2.66510101235065         0.049999999999999996     0.02346799309707229      2.66510101235065         0.049999999999999996     1103.6496474459516       2.2666031126719508E-10   8.378834808605392E-10
-0.022468618683338232     2.6471450465204103       0.043877551029248854     -0.022468618683338236    2.6471450465204103       0.04387755102924885      786.1465409792199        1.9017895530450367E-10   5.968372315856888E-10
-0.07782778447989279      2.685383133311971        0                        -0.07782778447989279     2.6853831333119715       0                        1149.3609554196544       2.1691968620414306E-10   8.725872022166107E-10
-0.0778279421705469       2.6853813070721717       0.09999999999999999      -0.07782794217054692     2.685381307072171        0.10000000000000002      1126.922961975618        2.167477571948297E-10    8.555524266481848E-10
0                         2.5710986158980886       0                        0                        2.5710986158980886       0                        268.9927650597895        9.478671427132913E-11    2.0421752033029499E-10
0                         2.5710986158980886       0.09999999999999999      0                        2.571098615898088        0.09999999999999999      250.26930289608714       9.558315871144661E-11    1.9000279223445354E-10
1.3725346577755388        -0.060700415087908924    0.049999999999999996     1.3725346577755388       -0.060700415087908924    0.049999999999999996     657.9522123540931        3.1558909883119655E-9    4.995129488809817E-10
1.3803883755158899        -0.04724288987110564     0.1                      1.38038837551589         -0.04724288987110564     0.09999999999999999      1090.8862756868414       3.1782684057318326E-9    8.281936138073601E-10
1.3653168020168613        0.03904816473407314      0.05000000000000011      1.365316802016861        0.03904816473407314      0.050000000000000135     1881.2515175172005       3.2807664012582825E-9    1.428233655054594E-9
1.3660063497517316        0.07499781802066688      0                        1.3660063497517319       0.07499781802066686      0                        2103.385998949738        3.3185876143599004E-9    1.596876677731726E-9
1.3803883755158899        -0.04724288987110564     5.152985330410418E-18    1.3803883755158899       -0.04724288987110564     5.152985330410418E-18    1078.5406429647196       3.1783392368949207E-9    8.188208914560462E-10
1.3581783194029085        0.08070956535239886      0.09999999999999999      1.3581783194029087       0.08070956535239884      0.1                      2028.0049599308657       3.3068629770421886E-9    1.5396478936604591E-9
1.2818009699990212        -0.028796876113286195    0                        1.2818009699990214       -0.02879687611328619     0                        1207.4840847904325       3.132236056614207E-9     9.167138959263337E-10
1.349066664678467         -0.15470281154047025     0                        1.3490666646784673       -0.15470281154047025     0                        333.81128695780495       3.0761811727395048E-9    2.53427311569507E-10
